job_id,mold_type,machine_id,machine_type,operator_id,step_number,scheduled_start,actual_start,actual_end,setup_time_minutes,run_time_minutes,status,qa_result
JOB20250602-018,Mold_4,M012,Drill Press,OP012,1,2025-06-02T13:00:00,2025-06-02T13:17:00,2025-06-02T15:54:00,15,157,interrupted,needs_review
JOB20250602-019,Mold_26,M001,VMC,OP005,3,2025-06-02T13:00:00,2025-06-02T13:05:00,2025-06-02T16:04:00,60,179,completed,fail
JOB20250602-020,Mold_36,M012,Drill Press,OP004,2,2025-06-02T13:00:00,2025-06-02T13:01:00,2025-06-02T16:22:00,15,201,interrupted,fail
JOB20250602-021,Mold_28,M013,Drill Press,OP009,1,2025-06-02T14:00:00,2025-06-02T14:21:00,2025-06-02T18:50:00,20,269,completed,fail
JOB20250602-022,Mold_5,M006,3-Axis CNC Mill,OP002,3,2025-06-02T08:00:00,2025-06-02T08:21:00,2025-06-02T09:43:00,50,82,rework,needs_review
JOB20250602-023,Mold_25,M011,Cylindrical Grinder,OP017,2,2025-06-02T10:00:00,2025-06-02T10:07:00,2025-06-02T12:20:00,40,133,interrupted,pass
JOB20250603-024,Mold_25,M004,HMC,OP010,5,2025-06-03T12:00:00,2025-06-03T12:29:00,2025-06-03T17:09:00,90,280,interrupted,pass
JOB20250603-025,Mold_24,M003,HMC,OP008,4,2025-06-03T10:00:00,2025-06-03T10:13:00,2025-06-03T12:41:00,90,148,interrupted,fail
JOB20250603-026,Mold_23,M002,VMC,OP015,1,2025-06-03T12:00:00,2025-06-03T12:02:00,2025-06-03T14:44:00,60,162,completed,fail
JOB20250603-027,Mold_35,M008,Sinker EDM,OP011,3,2025-06-03T13:00:00,2025-06-03T13:03:00,2025-06-03T16:11:00,45,188,interrupted,needs_review
JOB20250603-028,Mold_1,M002,VMC,OP010,3,2025-06-03T10:00:00,2025-06-03T10:27:00,2025-06-03T13:38:00,60,191,completed,needs_review
JOB20250603-029,Mold_8,M005,5-Axis CNC Mill,OP005,3,2025-06-03T14:00:00,2025-06-03T14:11:00,2025-06-03T18:25:00,120,254,rework,fail
JOB20250603-030,Mold_5,M014,CNC Lathe,OP003,2,2025-06-03T11:00:00,2025-06-03T11:22:00,2025-06-03T15:18:00,45,236,completed,pass
JOB20250603-031,Mold_40,M008,Sinker EDM,OP002,4,2025-06-03T14:00:00,2025-06-03T14:13:00,2025-06-03T16:58:00,45,165,interrupted,needs_review
JOB20250603-032,Mold_4,M007,Sinker EDM,OP006,2,2025-06-03T13:00:00,2025-06-03T13:08:00,2025-06-03T17:52:00,45,284,interrupted,needs_review
JOB20250603-033,Mold_5,M012,Drill Press,OP004,1,2025-06-03T11:00:00,2025-06-03T11:20:00,2025-06-03T15:37:00,15,257,interrupted,needs_review
JOB20250603-034,Mold_18,M010,Surface Grinder,OP015,1,2025-06-03T14:00:00,2025-06-03T14:15:00,2025-06-03T19:14:00,30,299,rework,fail
JOB20250603-035,Mold_8,M009,Wire EDM,OP012,3,2025-06-03T12:00:00,2025-06-03T12:25:00,2025-06-03T15:31:00,60,186,completed,needs_review
JOB20250603-036,Mold_34,M004,HMC,OP019,3,2025-06-03T13:00:00,2025-06-03T13:16:00,2025-06-03T16:38:00,90,202,completed,pass
JOB20250603-037,Mold_14,M010,Surface Grinder,OP017,4,2025-06-03T10:00:00,2025-06-03T10:30:00,2025-06-03T14:37:00,30,247,interrupted,needs_review
JOB20250603-038,Mold_5,M007,Sinker EDM,OP003,2,2025-06-03T11:00:00,2025-06-03T11:00:00,2025-06-03T12:21:00,45,81,completed,fail
JOB20250603-039,Mold_35,M001,VMC,OP012,4,2025-06-03T14:00:00,2025-06-03T14:25:00,2025-06-03T18:32:00,60,247,rework,needs_review
JOB20250603-040,Mold_36,M008,Sinker EDM,OP010,3,2025-06-03T14:00:00,2025-06-03T14:20:00,2025-06-03T18:03:00,45,223,completed,fail
JOB20250604-041,Mold_27,M013,Drill Press,OP020,1,2025-06-04T10:00:00,2025-06-04T10:29:00,2025-06-04T11:52:00,20,83,rework,pass
JOB20250604-042,Mold_6,M004,HMC,OP011,3,2025-06-04T10:00:00,2025-06-04T10:29:00,2025-06-04T15:04:00,90,275,interrupted,pass
JOB20250604-043,Mold_20,M015,Manual Lathe,OP005,2,2025-06-04T13:00:00,2025-06-04T13:30:00,2025-06-04T16:57:00,30,207,completed,fail
JOB20250604-044,Mold_2,M012,Drill Press,OP003,5,2025-06-04T14:00:00,2025-06-04T14:30:00,2025-06-04T16:32:00,15,122,interrupted,pass
JOB20250604-045,Mold_36,M005,5-Axis CNC Mill,OP020,1,2025-06-04T09:00:00,2025-06-04T09:29:00,2025-06-04T11:01:00,120,92,rework,pass
JOB20250604-046,Mold_5,M006,3-Axis CNC Mill,OP016,4,2025-06-04T13:00:00,2025-06-04T13:17:00,2025-06-04T15:37:00,50,140,completed,needs_review
JOB20250604-047,Mold_8,M013,Drill Press,OP004,3,2025-06-04T08:00:00,2025-06-04T08:00:00,2025-06-04T11:48:00,20,228,interrupted,pass
JOB20250604-048,Mold_35,M004,HMC,OP020,1,2025-06-04T09:00:00,2025-06-04T09:11:00,2025-06-04T10:18:00,90,67,completed,needs_review
JOB20250604-049,Mold_40,M011,Cylindrical Grinder,OP018,4,2025-06-04T11:00:00,2025-06-04T11:06:00,2025-06-04T14:03:00,40,177,rework,pass
JOB20250604-050,Mold_39,M004,HMC,OP004,2,2025-06-04T09:00:00,2025-06-04T09:23:00,2025-06-04T12:45:00,90,202,completed,needs_review
JOB20250604-051,Mold_2,M003,HMC,OP016,1,2025-06-04T08:00:00,2025-06-04T08:27:00,2025-06-04T12:45:00,90,258,interrupted,fail
JOB20250604-052,Mold_34,M005,5-Axis CNC Mill,OP005,2,2025-06-04T08:00:00,2025-06-04T08:24:00,2025-06-04T10:55:00,120,151,completed,fail
JOB20250604-053,Mold_31,M003,HMC,OP010,1,2025-06-04T14:00:00,2025-06-04T14:03:00,2025-06-04T18:15:00,90,252,rework,pass
JOB20250604-054,Mold_23,M015,Manual Lathe,OP019,1,2025-06-04T10:00:00,2025-06-04T10:28:00,2025-06-04T14:22:00,30,234,interrupted,needs_review
JOB20250604-055,Mold_31,M001,VMC,OP010,5,2025-06-04T09:00:00,2025-06-04T09:26:00,2025-06-04T12:07:00,60,161,completed,needs_review
JOB20250604-056,Mold_21,M002,VMC,OP019,2,2025-06-04T14:00:00,2025-06-04T14:14:00,2025-06-04T17:31:00,60,197,completed,needs_review
JOB20250604-057,Mold_11,M011,Cylindrical Grinder,OP004,4,2025-06-04T09:00:00,2025-06-04T09:05:00,2025-06-04T11:04:00,40,119,rework,pass
JOB20250605-058,Mold_17,M013,Drill Press,OP008,4,2025-06-05T13:00:00,2025-06-05T13:13:00,2025-06-05T17:46:00,20,273,completed,needs_review
JOB20250605-059,Mold_23,M010,Surface Grinder,OP016,3,2025-06-05T09:00:00,2025-06-05T09:30:00,2025-06-05T12:45:00,30,195,rework,needs_review
JOB20250605-060,Mold_19,M005,5-Axis CNC Mill,OP006,4,2025-06-05T09:00:00,2025-06-05T09:01:00,2025-06-05T13:37:00,120,276,rework,pass
JOB20250605-061,Mold_33,M004,HMC,OP020,1,2025-06-05T10:00:00,2025-06-05T10:17:00,2025-06-05T14:15:00,90,238,rework,pass
JOB20250605-062,Mold_37,M002,VMC,OP020,1,2025-06-05T10:00:00,2025-06-05T10:22:00,2025-06-05T13:05:00,60,163,completed,fail
JOB20250605-063,Mold_15,M010,Surface Grinder,OP010,4,2025-06-05T09:00:00,2025-06-05T09:12:00,2025-06-05T11:20:00,30,128,rework,fail
JOB20250605-064,Mold_3,M003,HMC,OP017,1,2025-06-05T10:00:00,2025-06-05T10:19:00,2025-06-05T14:56:00,90,277,rework,pass
JOB20250605-065,Mold_40,M013,Drill Press,OP009,2,2025-06-05T11:00:00,2025-06-05T11:21:00,2025-06-05T14:55:00,20,214,completed,needs_review
JOB20250605-066,Mold_24,M001,VMC,OP007,1,2025-06-05T12:00:00,2025-06-05T12:25:00,2025-06-05T17:24:00,60,299,completed,fail
JOB20250605-067,Mold_10,M015,Manual Lathe,OP004,1,2025-06-05T14:00:00,2025-06-05T14:01:00,2025-06-05T16:18:00,30,137,rework,pass
JOB20250605-068,Mold_12,M003,HMC,OP005,5,2025-06-05T12:00:00,2025-06-05T12:19:00,2025-06-05T13:35:00,90,76,completed,fail
JOB20250605-069,Mold_10,M005,5-Axis CNC Mill,OP009,5,2025-06-05T08:00:00,2025-06-05T08:16:00,2025-06-05T10:12:00,120,116,completed,needs_review
JOB20250605-070,Mold_27,M007,Sinker EDM,OP007,1,2025-06-05T13:00:00,2025-06-05T13:05:00,2025-06-05T15:28:00,45,143,interrupted,fail
JOB20250605-071,Mold_13,M007,Sinker EDM,OP003,1,2025-06-05T10:00:00,2025-06-05T10:29:00,2025-06-05T13:55:00,45,206,interrupted,fail
JOB20250605-072,Mold_29,M009,Wire EDM,OP010,1,2025-06-05T08:00:00,2025-06-05T08:01:00,2025-06-05T09:05:00,60,64,rework,pass
JOB20250605-073,Mold_18,M011,Cylindrical Grinder,OP014,4,2025-06-05T08:00:00,2025-06-05T08:03:00,2025-06-05T10:56:00,40,173,completed,fail
JOB20250605-074,Mold_28,M013,Drill Press,OP006,5,2025-06-05T14:00:00,2025-06-05T14:26:00,2025-06-05T19:02:00,20,276,completed,needs_review
JOB20250605-075,Mold_29,M002,VMC,OP010,5,2025-06-05T14:00:00,2025-06-05T14:08:00,2025-06-05T15:26:00,60,78,completed,fail
JOB20250606-076,Mold_11,M010,Surface Grinder,OP011,1,2025-06-06T09:00:00,2025-06-06T09:15:00,2025-06-06T11:19:00,30,124,completed,pass
JOB20250606-077,Mold_37,M009,Wire EDM,OP013,5,2025-06-06T11:00:00,2025-06-06T11:06:00,2025-06-06T14:03:00,60,177,rework,fail
JOB20250606-078,Mold_24,M014,CNC Lathe,OP017,2,2025-06-06T11:00:00,2025-06-06T11:07:00,2025-06-06T14:09:00,45,182,interrupted,needs_review
JOB20250606-079,Mold_35,M003,HMC,OP004,2,2025-06-06T12:00:00,2025-06-06T12:12:00,2025-06-06T14:51:00,90,159,completed,fail
JOB20250606-080,Mold_31,M014,CNC Lathe,OP009,2,2025-06-06T14:00:00,2025-06-06T14:02:00,2025-06-06T18:51:00,45,289,rework,pass
JOB20250606-081,Mold_21,M003,HMC,OP009,1,2025-06-06T14:00:00,2025-06-06T14:26:00,2025-06-06T19:04:00,90,278,interrupted,needs_review
JOB20250606-082,Mold_6,M001,VMC,OP006,2,2025-06-06T11:00:00,2025-06-06T11:26:00,2025-06-06T14:38:00,60,192,completed,needs_review
JOB20250606-083,Mold_26,M009,Wire EDM,OP015,4,2025-06-06T08:00:00,2025-06-06T08:18:00,2025-06-06T12:18:00,60,240,completed,fail
JOB20250606-084,Mold_22,M013,Drill Press,OP013,1,2025-06-06T10:00:00,2025-06-06T10:20:00,2025-06-06T13:36:00,20,196,rework,fail
JOB20250606-085,Mold_7,M011,Cylindrical Grinder,OP012,1,2025-06-06T09:00:00,2025-06-06T09:07:00,2025-06-06T12:59:00,40,232,rework,fail
JOB20250606-086,Mold_1,M009,Wire EDM,OP018,1,2025-06-06T10:00:00,2025-06-06T10:28:00,2025-06-06T12:45:00,60,137,rework,pass
JOB20250606-087,Mold_7,M007,Sinker EDM,OP002,5,2025-06-06T14:00:00,2025-06-06T14:17:00,2025-06-06T16:07:00,45,110,interrupted,fail
JOB20250606-088,Mold_28,M010,Surface Grinder,OP017,1,2025-06-06T08:00:00,2025-06-06T08:22:00,2025-06-06T10:43:00,30,141,interrupted,fail
JOB20250606-089,Mold_11,M007,Sinker EDM,OP005,2,2025-06-06T12:00:00,2025-06-06T12:24:00,2025-06-06T15:05:00,45,161,interrupted,fail
JOB20250607-090,Mold_33,M001,VMC,OP019,1,2025-06-07T09:00:00,2025-06-07T09:04:00,2025-06-07T11:50:00,60,166,interrupted,fail
JOB20250607-091,Mold_13,M003,HMC,OP015,3,2025-06-07T11:00:00,2025-06-07T11:22:00,2025-06-07T14:12:00,90,170,interrupted,fail
JOB20250607-092,Mold_40,M004,HMC,OP009,1,2025-06-07T14:00:00,2025-06-07T14:12:00,2025-06-07T15:49:00,90,97,completed,pass
JOB20250607-093,Mold_19,M002,VMC,OP012,2,2025-06-07T10:00:00,2025-06-07T10:17:00,2025-06-07T12:11:00,60,114,interrupted,needs_review
JOB20250607-094,Mold_11,M002,VMC,OP005,1,2025-06-07T13:00:00,2025-06-07T13:29:00,2025-06-07T16:23:00,60,174,interrupted,fail
JOB20250607-095,Mold_17,M004,HMC,OP004,2,2025-06-07T14:00:00,2025-06-07T14:29:00,2025-06-07T17:05:00,90,156,rework,fail
JOB20250607-096,Mold_27,M011,Cylindrical Grinder,OP014,5,2025-06-07T14:00:00,2025-06-07T14:30:00,2025-06-07T18:38:00,40,248,rework,fail
JOB20250607-097,Mold_33,M009,Wire EDM,OP018,4,2025-06-07T12:00:00,2025-06-07T12:06:00,2025-06-07T16:44:00,60,278,rework,needs_review
JOB20250607-098,Mold_14,M001,VMC,OP016,1,2025-06-07T11:00:00,2025-06-07T11:00:00,2025-06-07T15:27:00,60,267,rework,pass
JOB20250607-099,Mold_10,M002,VMC,OP018,4,2025-06-07T10:00:00,2025-06-07T10:04:00,2025-06-07T12:27:00,60,143,interrupted,pass
JOB20250607-100,Mold_20,M013,Drill Press,OP003,2,2025-06-07T14:00:00,2025-06-07T14:06:00,2025-06-07T17:09:00,20,183,completed,pass
JOB20250607-101,Mold_6,M015,Manual Lathe,OP008,5,2025-06-07T08:00:00,2025-06-07T08:28:00,2025-06-07T13:16:00,30,288,interrupted,pass
JOB20250607-102,Mold_25,M006,3-Axis CNC Mill,OP013,3,2025-06-07T09:00:00,2025-06-07T09:15:00,2025-06-07T14:15:00,50,300,interrupted,fail
JOB20250607-103,Mold_33,M006,3-Axis CNC Mill,OP013,1,2025-06-07T09:00:00,2025-06-07T09:15:00,2025-06-07T13:36:00,50,261,rework,needs_review
JOB20250607-104,Mold_12,M011,Cylindrical Grinder,OP007,5,2025-06-07T10:00:00,2025-06-07T10:23:00,2025-06-07T12:59:00,40,156,completed,pass
JOB20250607-105,Mold_9,M013,Drill Press,OP019,4,2025-06-07T13:00:00,2025-06-07T13:21:00,2025-06-07T17:53:00,20,272,rework,fail
JOB20250607-106,Mold_27,M012,Drill Press,OP007,2,2025-06-07T10:00:00,2025-06-07T10:00:00,2025-06-07T12:30:00,15,150,rework,needs_review
JOB20250607-107,Mold_7,M012,Drill Press,OP002,2,2025-06-07T10:00:00,2025-06-07T10:19:00,2025-06-07T15:12:00,15,293,interrupted,fail
